timestamp,decision,alg,iteration,is_last,n_clusters,completed_runs,best_run,runs_iterations,completed_runs_status,waiting_time,decision_time,inertia_time,ars_time,ami_time,avg_run_iteration_duration,var_run_iteration_duration,avg_run_iteration_supplemental_time,var_run_iteration_supplemental_time,runs_inertia,decision_ars,decision_ami,runs_ars_matrix,runs_ami_matrix,inertia,inertia_gradient,inertia_improvement,inertia_improvement_gradient,ars,ars_gradient,ami,ami_gradient,final_ars,final_ami,calinsky_harabaz,db_index,dunn_index
2.1515,hgpa,k-means,0,False,2,0,0,001-001-001-001,f-f-f-f,0.000213,0.042596,0.001064,0.0,0.0,0.001209,5.148048387582094e-08,0,0,0::0::0::0,-0.0031790577105108384::-0.004365543845164107::0.006122778735061598::0.03005751289974427,-0.003911036270827768::-0.00315335725069203::0.009669175354116497::0.1284748445293572,1.0::0.043145755888098464::0.6764155713575358::0.36404255491513365||0.043145755888098464::1.0::0.00792380750017159::0.01556572827229636||0.6764155713575358::0.00792380750017159::1.0::0.11664095466706202||0.36404255491513365::0.01556572827229636::0.11664095466706202::1.0,1.0::0.05170197515435899::0.5210141426274413::0.2574791865696519||0.05170197515435899::1.0::0.010606299204871683::0.046696151901683816||0.5210141426274413::0.010606299204871683::1.0::0.023950377411982447||0.2574791865696519::0.046696151901683816::0.023950377411982447::1.0,6.1665042351,inf,0.0,inf,1.0,inf,1.0,inf,0.6293191957112511,0.5205517161990137,3.7150736702502853,6.303392339872764,0.2894549370380239
2.2547,hgpa,k-means,1,False,2,0,0,002-002-002-002,f-f-f-f,0.001134,0.041217,0.005961,0.004575,0.003743,0.000452,2.411479016473095e-09,0,0,0::0::0::0,-0.003278109853707017::-0.0042055635998833555::-0.003141368148929441::-0.0010171535803312015,-0.0038713752584093276::-0.0034534773928137203::-0.003786005584997079::-0.002649422890869271,1.0::0.4620661770231439::0.8597125898461792::0.491350903965361||0.4620661770231439::1.0::0.42236244970574893::0.19993560292710255||0.8597125898461792::0.42236244970574893::1.0::0.43490727283554337||0.491350903965361::0.19993560292710255::0.43490727283554337::1.0,1.0::0.38529855910750294::0.7392310121927971::0.4224896765387364||0.38529855910750294::1.0::0.3423596266213935::0.20123481420028713||0.7392310121927971::0.3423596266213935::1.0::0.3179019166599097||0.4224896765387364::0.20123481420028713::0.3179019166599097::1.0,6.2680373299,0.1015330948,-0.0164652599,-0.0164652599,0.41308872654281414,-0.5869112734571859,0.3229693877292065,-0.6770306122707934,0.41308872654281414,0.3229693877292065,0.22080299638267165,25.576595126751716,0.07668831016412707
2.3627,hgpa,k-means,2,False,2,1,0,003-003-003-003,t-f-f-f,0.001257,0.047689,0.001293,0.001002,0.001981,0.000441,1.5343459836003603e-10,0,0,0::0::0::0,-0.003278109853707017::-0.003676488747441914::-0.0032387704521441526::-0.00047328001538151526,-0.0038713752584093276::-0.0036076806956435435::-0.0037516313576124896::-0.0012061481243382936,1.0::0.7916705969715712::0.9795187955273045::0.5117533285932605||0.7916705969715712::1.0::0.8100860783120984::0.37634110816874317||0.9795187955273045::0.8100860783120984::1.0::0.49785981567073617||0.5117533285932605::0.37634110816874317::0.49785981567073617::1.0,1.0::0.7117629300911058::0.9518026780670079::0.4396150274027826||0.7117629300911058::1.0::0.7310952228014544::0.34714812440503595||0.9518026780670079::0.7310952228014544::1.0::0.42954729298117633||0.4396150274027826::0.34714812440503595::0.42954729298117633::1.0,6.2680568511,1.95212e-05,-0.0164684256,-3.1657e-06,0.488909800147331,0.07582107360451684,0.3892570913585612,0.06628770362935466,0.7219893967834383,0.6152297232426439,0.2201420580593569,25.60273000847106,0.07613464574712715
2.4687,hgpa,k-means,3,False,2,1,0,003-004-004-004,t-f-f-f,0.001072,0.052421,0.001182,0.000943,0.001897,0.000461,4.4649084429693175e-10,0,0,0::0::0::0,-0.003278109853707017::-0.0032049422283237363::-0.003278109853707017::0.005014817627305738,-0.0038713752584093276::-0.003397125991913619::-0.0038713752584093276::0.010820786937339491,1.0::0.8818932290202953::1.0::0.5727667491963111||0.8818932290202953::1.0::0.8818932290202953::0.4879766478204283||1.0::0.8818932290202953::1.0::0.5727667491963111||0.5727667491963111::0.4879766478204283::0.5727667491963111::1.0,1.0::0.8090151048950179::1.0::0.491792715743483||0.8090151048950179::1.0::0.809015104895018::0.4296056961962346||1.0::0.809015104895018::1.0::0.491792715743483||0.491792715743483::0.4296056961962346::0.491792715743483::1.0,6.2164596908,-0.0515971603,-0.0081010981,0.0083673275,0.6293191957112511,0.14040939556392007,0.5205517161990137,0.13129462484045257,0.7542835577631399,0.6502157585744474,1.9815878394318467,8.573151792010714,0.22235585741117486
2.599,hgpa,k-means,4,False,2,2,0,003-005-005-005,t-f-t-f,0.001431,0.070928,0.005808,0.002243,0.003261,0.00044,3.675495463539846e-10,0,0,0::0::0::0,-0.003278109853707017::-0.0033328889481401757::-0.003278109853707017::-0.0002663746411340563,-0.0038713752584093276::-0.0037192670955101996::-0.0038713752584093276::-0.0004909577018392695,1.0::0.9395320529532071::1.0::0.6570242506588697||0.9395320529532071::1.0::0.9395320529532071::0.6092139117511957||1.0::0.9395320529532071::1.0::0.6570242506588697||0.6570242506588697::0.6092139117511957::0.6570242506588697::1.0,1.0::0.8853231713875697::1.0::0.5352219438518484||0.8853231713875697::1.0::0.8853231713875697::0.4961982112936998||1.0::0.8853231713875697::1.0::0.5352219438518484||0.5352219438518484::0.4961982112936998::0.5352219438518484::1.0,6.2663860307,0.0499263399,-0.0161974746,-0.0080963765,0.04170587527624555,-0.5876133204350055,0.03029957435217745,-0.4902521418468363,0.050130439010080755,0.03647384633070915,0.2767267854400783,22.847095549768596,0.08374913599078408
2.6889,hgpa,k-means,5,False,2,2,0,003-006-005-006,t-f-t-f,0.000724,0.043354,0.001157,0.000962,0.001822,0.000438,4.071267767358222e-10,0,0,0::0::0::0,-0.003278109853707017::-0.0032387704521441526::-0.003278109853707017::-0.0031790577105108384,-0.0038713752584093276::-0.0037516313576124896::-0.0038713752584093276::-0.003911036270827766,1.0::0.9795187955273045::1.0::0.9183863959626443||0.9795187955273045::1.0::0.9795187955273045::0.898838890529063||1.0::0.9795187955273045::1.0::0.9183863959626443||0.9183863959626443::0.898838890529063::0.9183863959626443::1.0,1.0::0.9518026780670079::1.0::0.8341364377657765||0.9518026780670079::1.0::0.9518026780670079::0.806304052187424||1.0::0.9518026780670079::1.0::0.8341364377657765||0.8341364377657765::0.806304052187424::0.8341364377657765::1.0,6.2538053569,-0.0125806737,-0.0141573116,0.002040163,0.5710492965522243,0.5293434212759787,0.46453840020402104,0.4342388258518436,0.050130439010080755,0.03647384633070915,0.7037602617330723,14.342912295386922,0.13476853703343009
2.7961,hgpa,k-means,6,False,2,2,0,003-007-005-007,t-f-t-f,0.000673,0.04162,0.001119,0.000945,0.002101,0.000403,2.9037714455171226e-09,0,0,0::0::0::0,-0.003278109853707017::-0.003278109853707017::-0.003278109853707017::-0.003278109853707017,-0.0038713752584093276::-0.0038713752584093276::-0.0038713752584093276::-0.0038713752584093298,1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0,1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0,6.2327522948,-0.0210530621,-0.0107432116,0.0034141,0.050130439010080755,-0.5209188575421435,0.03647384633070915,-0.4280645538733119,1.0,1.0,1.4222334604494176,10.09674008659851,0.19062553741297733
2.9955,hgpa,k-means,7,True,2,4,0,003-008-005-008,t-t-t-t,0.001824,0.106018,0.001848,0.001506,0.002808,0.000449,3.4097915602160356e-09,0,0,0::0::0::0,-0.003278109853707017::-0.003278109853707017::-0.003278109853707017::-0.003278109853707017,-0.0038713752584093276::-0.0038713752584093276::-0.0038713752584093276::-0.0038713752584093298,1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0,1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0||1.0::1.0::1.0::1.0,6.2327522948,0.0,-0.0107432116,0.0,1.0,0.9498695609899193,1.0,0.9635261536692908,1.0,1.0,1.4222334604494176,10.09674008659851,0.19062553741297733
